text,categoria
Eldía de las madres te van a dar pura VRG iOjalá! ,ninguna_de_las_anteriores
Yo siendo el padrino del morrillo de mi compa después de decirle que no lo tuviera: ,ninguna_de_las_anteriores
Mis planes El 2020 ,ninguna_de_las_anteriores
dCómo aguantar tres días seguidos de festival después de vender medio riñón para pagarlo? Respuestas Yahoo! #coronacapital2022 @Betoposting Traiganme un suero ,ninguna_de_las_anteriores
VEOES SICNTO #ívis 8H91EXg EsTOS REVIENTO ,ninguna_de_las_anteriores
"Cariño, &Ah si? no puedo hablar, Pues mira estoy por el conduciendo retrovisor ",ninguna_de_las_anteriores
"Sabías que la luz de las direccionales no se ve reflejada en el recibo de la luz de tu casa? Úsalas, son gratis. facebook.comlGanqueGaming 64 KEDzD 200"" OFF ",ninguna_de_las_anteriores
WHEN LE DAS DINERO A TU HERMANITO PARA QUE SE COMPRE UN JUEGO Y SE COMPRA FIFA Sdlg Que nohabia para hombres? xdxDXd ,sexismo
LO QUE UNA MUJER VE LO QUE UN HOMBRE VE HOMBRES En la desesperada busqueda de un Iugar donde seniaise Qanlualocun ,sexismo
Recibir mentadas y ser abucheados en el estadio Azteca Grupo Firme Díaz Ordaz ,clasismo
LOSMEXICANOS ALVER EL IMPACTO QUEHACEN makeameme org ,ninguna_de_las_anteriores
"Ricky Puenthe @rckypuenthe 16h Pensa que Eracias DosotrosCrecieron os de Yahritza Su Erupo escencia.quechsm Po Donar, 510 Jonar ",ninguna_de_las_anteriores
Fl Luis Miguel pedimos  /Fl que nos va Ilegar (Si es que Ilega) que ,ninguna_de_las_anteriores
Cuando ya no te duele su visto. Vv [Te has vuello muy fuerte ,ninguna_de_las_anteriores
"cSABES QuE MVEREN MÁS   HoMBRES Por  atragantamiento de Hueso aceitvna, Que MJERes? Rckha fero de Est   Np   Hablais ,ieno? inee Ceves ",sexismo
Tu novia explorando el agujero de tu cabezita @SrFvcker ,ninguna_de_las_anteriores
Cuando visitas a tu abuelita 80 MUSEO DCLORES 2SOLMEDO Dl Diloo Pro InsUiC NAcohal Ud5EaAc yteda tu itacate ,ninguna_de_las_anteriores
Todo lo que a tu mujer no le gusta hacer; yo te lo hago y bien rico; iHaces pastel de papas? ,sexismo
Yo: ven Mi mamá: de seguro me va a dar mi regalo Yo: a ti que cargaste en tu vientre dolor y cansancio. JS) Mi mamá: ,ninguna_de_las_anteriores
*le presento mi novia a mis padres* yo en mi cabeza: por favor que no la lie el subnormal este mi padre: Inawcja viva el machismo ,ninguna_de_las_anteriores
Nadiemereceesto más quetu RIDICULA ,ninguna_de_las_anteriores
@omoesreamenie Qeboescuchaescisie @sIARAqubuen Sqg@llncoquedoe dhisiebo @oscuidg ComoUsuaioDesconocido [iensaquees: Qeloescuchaesedilsie Sq@nllancoquebiloe MOoooooesoesladisl @aoscuildg ,ninguna_de_las_anteriores
Voy despertando y se me antojo un toquesote De parrtes fntimas ,ninguna_de_las_anteriores
El demonio debajo de mi cama viendo como lloro a las 3 a.m. Tas bien? ,ninguna_de_las_anteriores
"ALGUNAS MUJERES SE ENAMORAN CON UN BESO 0 UN FLORAZO PARA TODASLSDEMAS, EXISTE MASTERCARD ",ninguna_de_las_anteriores
Tu billete viendo como lo guardas entre tus chichis C0  Scatszs ,ninguna_de_las_anteriores
Drecu Paule Rivas Iturbe @Dracularpia Sonora Grill Masry< erardo Zor9 Ganci. Jie-2% ,racismo
